,categories_en
16593,"Plant-based foods and beverages,Plant-based foods,Sweeteners,Stevia and their products"
16594,"Beverages,Non-Alcoholic beverages,Non-Alcoholic wheat beers,Non-sugared beverages"
16595,"Frozen foods,Meals,Prepared vegetables,fr:Purées,Frozen ready-made meals,Mashed vegetables,fr:Purées de pommes de terre"
16596,fr:Gogoșari-in-oțet
16597,"Meals,Meals with meat,Pork meals,fr:Nems"
16598,"Fresh foods,Salty snacks,Appetizers,Meals,Fresh meals,Starters,fr:Accras,fr:Accras-de-morue,fr:Beignets-de-poisson"
16599,"Seafood,Crustaceans,Shrimps,fr:Crevettes-en-conserve"
16600,ru:Мороженое-пломбир-с-ароматом-фисташки-в-вафельном-рожке
16601,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Products without gluten,Gluten-free breads,fr:Label-gluten-free"
16602,"Sugary snacks,Biscuits and cakes,Desserts,Biscuits,Cakes,fr:Sablés,fr:Gâteaux bretons,fr:Biscuits-au-beurre,fr:Palets-bretons"
16603,"Beverages,Alcoholic beverages,Beers,Strong beers,fr:American-strong-ale,fr:Bieres-americaines,fr:Strong-ale"
16604,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Legumes,Seeds,Legume seeds,Meals,Soy,fr:Crousti-panes-tomates"
16605,"fr:Beignets,fr:Beignets-de-porcelet,fr:Beignets-sales"
16606,"Plats-prepares,Plats-a-base-de-viande,Plats-a-base-de-viande-bovine"
16607,"Dairies,Creams,Sour creams,fr:Crèmes fraîches épaisses,fr:Creme-fraiche-epaisse-bio"
16608,"Sugary snacks,Confectioneries,Christmas foods and drinks,Chocolates,Christmas sweets,Black chocolate turrón filled with fruit praline,Turrón"
16609,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Meals,Microwave meals,Plant-based meals,Precooked rices,es:Arroces-cocidos-basmati"
16610,"Pies,Sweet pies,Apple pies"
16611,"Pie dough,es:Masa-brick"
16612,"fr:Salade-au-poisson,fr:Salade-de-saumon-fume"
16613,"Sugary snacks,Biscuits and cakes,Biscuits,Products without gluten,Gluten-free biscuits,es:Galletas-de-tipo-maria"
16614,"Fresh foods,Meals,Meals with fish,Fresh meals"
16615,"xx:Vin,xx:Jul,xx:Vegansk"
16616,"Fresh foods,Dairies,Cheeses,Cow Cheeses,French cheeses,Soft cheeses with bloomy rind,Unpasteurised cheeses,fr:Saint-Marcellin"
16617,"Beverages,Alcoholic beverages,Wines,French wines,Red wines,fr:Ventoux"
16618,fr:Beignes
16619,"Groceries,Meals,Sauces,Tomato sauces"
16620,"Beverages,Alcoholic beverages,Beers,Lagers,fr:Bieres-estoniennes"
16621,"Sugary snacks,Biscuits and cakes,Frozen foods,Pastries,Chocolate eclairs,fr:Éclairs,fr:Gâteaux et pâtisseries surgelés"
16622,"Dairies,Cheeses,Italian cheeses,Mozzarella,fr:Mozzarella di Bufala Campana"
16623,"Salty snacks,Appetizers,Chips and fries,Crisps,fr:Chips-saveur-poulet"
16624,"Groceries,Dried products,Broths,Dried products to be rehydrated,Dehydrated broths"
16625,"Plant-based foods and beverages,Plant-based foods,Pickles,Olive tree products,Plant-based pickles,Olives,Green olives,fr:Olives-cassees"
16626,"Beverages,Desserts,Artificially sweetened beverages,fr:Milk-shake,fr:Milk-shake-substitut-de-repas-saveur-vanille,fr:Substituts-de-repas"
16627,"fr:Garbure-de-jambon,fr:Garbure-de-jambon-aux-legumes"
16628,Cafe-en-dosettes-compatible-nespresso
16629,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Legumes and their products,Vegetables based foods,Legumes,Nuts and their products,Nuts,Peanuts"
16630,de:Haselnusse
16631,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Brown breads"
16632,"Fresh foods,Dairies,Desserts,Yogurts,Fruit yogurts,Low-fat yogurts,Peach yogurts,Sweetened yogurts,fr:Yaourts sur lit de fruits,fr:Yaourts-sur-lit-de-peche"
16633,pl:Margaryna
16634,"Meats,Prepared meats,Dairies,Cheeses,Hams,fr:Jambons crus,Italian cheeses"
16635,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Meals,Breaded products,Plant-based meals,Puffed cereal cakes"
16636,Juice-milk-drink
16637,"Sugary snacks,Dairies,Desserts,Chocolates,Dairy desserts,Chocolate desserts,Dairy chocolate desserts"
16638,"Spreads,Dairies,Fats,Spreadable fats,Animal fats,Milkfat,Butters,ro:Unt"
16639,fr:Bonbon-drageifie
16640,"Plant-based foods and beverages,Beverages,Plant-based beverages,Carbonated drinks,Fruit-based beverages,Non-sugared beverages,Sugared beverages"
16641,"Meals,Meals with meat,Microwave meals,Beef dishes,Pots,fr:Plats préparés à faible teneur en matières grasses"
16642,"Beverages,Alcoholic beverages,Beers,Triple beer,fr:Bieres-de-haute-fermentation"
16643,"Sugary snacks,Desserts,Chocolates,Dark chocolates,Chocolate molds"
16644,"Sugary snacks,Chocolates,Dark chocolates,fr:Chocolats-noirs-fourres"
16645,"Meals,Meals with meat,Microwave meals,Poultry meals,fr:Céréales préparées,Meals with chicken,fr:Riz préparés"
16646,"Meats,Prepared meats,Pork,Bacon,Sliced bacon"
16647,fr:Pates-a-gateaux
16648,"Frozen foods,Meals,Meals with meat,Microwave meals,Frozen pizzas and pies,Frozen pizzas"
16649,"Spreads,Breakfasts,Sweet spreads,fr:Pâtes à tartiner,Hazelnut spreads,fr:Pate-a-tartiner-a-la-noisette-et-a-la-noix-de-coco"
16650,"Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Sugared beverages,fr:Boissons-a-la-canneberge"
16651,"Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Non-Alcoholic beverages,Sugared beverages,fr:Virgin-mojito"
16652,"Dairies,Desserts,Cheeses,Dairy desserts,fr:Fromages blancs"
16653,"Plant-based foods and beverages,Plant-based foods,Groceries,Condiments,Spices,Vanilla"
16654,"Salty snacks,Appetizers,Chips and fries,Crisps,fr:Fruits-deshydrates,fr:Snack"
16655,"Meals,Baby foods,Meals with meat,Beef dishes,From 8 months,Main meals for babies"
16656,"Beverages,Alcoholic beverages,Wines,Red wines,Wines from Italy,it:Salice Salentino"
16657,"Frozen foods,Meals,fr:Risottos"
16658,Pancake-syrup
16659,"Beverages,Syrups,Flavoured syrups,Peach syrups,Sugared beverages"
16660,"Fresh foods,Dairies,Desserts,Yogurts,Plain stirred yogurts,Stirred yogurts"
16661,"Beverages,Hot beverages,Coffees,Instant hot beverages,Coffee capsules,Decaffeinated coffees,Instant coffees,Decaffeinated instant coffees,Non-sugared beverages"
16662,"Dairies,Cheeses,Italian cheeses"
16663,"Moussakas,Plats-prepares-surgeles,Plats-a-base-de-viande-bovine"
16664,"Canned foods,Meals,Meals with fish,Canned meals,fr:Salades composées,fr:Salades-de-riz"
16665,"Food additives,fr:Epaississants"
16666,"Seafood,Fishes,Smoked fishes,Smoked trouts,Filet-de-poisson-fume"
16667,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Refrigerated foods,Vegetable soups,Refrigerated meals,Refrigerated soups,Refrigerated vegetable soups"
16668,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Spreads,Breakfasts,Fruits based foods,Plant-based spreads,Sweet spreads,Fruit preserves,Jams,Artisan products,Fruit jams,Tropical fruit jams,Artisan jams,Guava jams,fr:Confiture-extra"
16669,"Sugary snacks,Chocolates,Dark chocolates,Swiss chocolates,fr:Chocolats-noirs-a-la-mandarine"
16670,"Groceries,Condiments,Sauces,Seasonings,fr:Aide-culinaire"
16671,Hard-cooked-peeled-eggs
16672,"Farming products,Bird eggs,Eggs,fr:Œufs de cage"
16673,"Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Juices and nectars,Fruit juices and nectars,Fruit nectars,Multifruit nectars,ru:Нектар-грейпфрутово-лимонный-для-детского-питания,Non-Alcoholic beverages"
16674,"Fresh foods,Dairies,Labeled products,Cheeses,Cooked pressed cheeses,Cow Cheeses,French cheeses,AOC Products,Unpasteurised cheeses,fr:Fromages labéllisés,AOC cheeses,Grated cheese,fr:Comté"
16675,"Plant-based foods and beverages,Plant-based foods,Groceries,Condiments,Spices,Vanilla,fr:Vanille-liquide"
16676,"Beverages,Dairies,Creams,fr:Crèmes entières,Non-sugared beverages,fr:Cremes-fleurette"
16677,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Dried products,Dried plant-based foods,Dried fruits,Dates,de:Dattes-deglet-nour"
16678,"Sugary snacks,Biscuits and cakes,Desserts,Cakes,Muffins"
16679,"Meats,Canned foods,Prepared meats,Canned meats,fr:Corned-beef"
16680,"Spreads,Breakfasts,Sweet spreads,Bee products,Farming products,Sweeteners,Honeys,Mountain products,Honeys from France,fr:Miels de fleurs,Honeys from the mountains,fr:Miels liquides"
16681,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Pickles,Olive tree products,Plant-based pickles,Olives,Chopped olives,Black chopped olives,Black olives"
16682,"Dietary supplements,Bodybuilding supplements,High protein bars,Protein bars"
16683,"Beverages,Alcoholic beverages,Wines,French wines,Bordeaux,Medoc wines,fr:Listrac-Médoc"
16684,"Sugary snacks,Biscuits and cakes,Biscuits,fr:Petits beurres,fr:Biscuits-au-beurre"
16685,"fr:Poedersuikers,fr:Suiker,fr:Zoetstoffen"
16686,"Sugary snacks,Confectioneries,Candies,ru:Драже,ru:Драже-с-карамельным-корпусом-глазированное-шоколадной-глазурью"
16687,"Dairies,Yogurts,Greek yogurts,Plain yogurts,Stirred yogurts"
16688,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Dry pasta,fr:Pâtes seches aromatisées et colorées,fr:Alphabets-aromatises-et-colores"
16689,"Plant-based foods and beverages,Plant-based foods,Frozen foods,Meals,Plant-based meals,Frozen ready-made meals,fr:Pommes-de-terre-sautees"
16690,"Canned foods,Dairies,Desserts,Dairy desserts,fr:Desserts-en-conserve,fr:Gateaux-de-riz,fr:Gateaux-de-riz-nappage-caramel"
16691,"Meats,Prepared meats,fr:Saucissons,fr:Saucisses sèches,fr:Saucisses-seches-aux-noisettes"
16692,"Canned foods,Meals,Canned meals,Sauerkrauts,fr:Choucroutes-garnies"
16693,de:Weizenbiere
16694,"Sugary snacks,Confectioneries,Candies,fr:Bonbons-acidules"
16695,"Fresh foods,Dairies,Labeled products,Cheeses,Cow Cheeses,French cheeses,Mountain products,Mountain cheeses,Uncooked pressed cheeses,Unpasteurised cheeses,fr:Fromages labéllisés,fr:Tommes,fr:Tomme de Savoie"
16696,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Meals,Soups"
16697,"Beverages,Carbonated drinks,Non-sugared beverages,Ginger-ales,Ginger-ale"
16698,"Dairies,Yogurts,ru:Биойогурт,ru:Биойогурт-термостатный-обогащенный-бифидобактериями-actiregularis-с-массовой-долей-жира-3-5"
16699,"Beverages,Alcoholic beverages,Wines,Fortified wines,French wines,fr:Mistelle,fr:Pineau des Charentes,fr:Pineaux"
16700,"Plant-based foods and beverages,Plant-based foods,Groceries,Condiments,Culinary plants"
16701,"Plant-based foods and beverages,Plant-based foods,Groceries,Condiments,Spices,Paprika,es:Pimenton-dulce"
16702,"Beverages,Alcoholic beverages,Wines,Sparkling wines,White wines,fr:Vins mousseux,fr:Vins-blancs-demi-sec,fr:Vins-blancs-mousseux,fr:Vins-demi-sec"
16703,fr:Rollmops
16704,"it:Farina,it:Farina-di-riso"
16705,"Spreads,Canned foods,Salted spreads,Seafood,Fishes,Canned fishes,Fish rillettes"
16706,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Desserts,Fruits based foods,Compotes,Light compotes,fr:Compotes à boire"
16707,"Salty snacks,Appetizers,fr:Melanges-de-noix"
16708,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Spreads,Breakfasts,Fruits based foods,Plant-based spreads,Sweet spreads,Fruit preserves,Jams,Fruit jams,Citrus jams,Light jams"
16709,"Sugary snacks,Chocolates,Dark chocolates,Chocolate molds,fr:Chocolats-de-noel"
16710,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Spaghetti,fr:Pâtes seches aromatisées et colorées"
16711,"Dairies,Yogurts,Drinkable yogurts,Whole milk yogurts"
16712,"Fresh foods,Spreads,Salted spreads,Dairies,Cheeses,Cow Cheeses,French cheeses,Cream cheeses,Pasteurized cheeses,Products with reduced salt,Cheese spreads,Industrial cheese,fr:Fromages-alleges-en-matiere-grasse,fr:Meta-categorie"
16713,"Plant-based foods and beverages,Plant-based foods,Spreads,Plant-based spreads,Olive tree products,Oilseed purees,Plant-based pâtés,Vegetarian olive pâtés"
16714,"Groceries,Sauces,Pasta sauces,Meat-based sauces,fr:Sauces-tomates-a-la-viande"
16715,"Sandwiches,Poultry sandwiches,Turkey sandwiches"
16716,"Groceries,Sauces,fr:Sauces-colombos"
16717,"Meats,Frozen foods,Meals,Poultries,Chickens,Meals with meat,Breaded products,Cooked chicken,Poultry meals,Frozen ready-made meals,fr:Poulets panés,Meals with chicken"
16718,"Canned foods,Meals,Meals with meat,Meals with rabbit or hare,Canned meals,fr:Plats à base de lapin,fr:Lapins-chasseurs-aux-pommes-de-terre"
16719,"Spreads,Breakfasts,Sweet spreads,Bee products,Farming products,Sweeteners,Honeys,Honeys from France,fr:Miels crémeux,fr:Miels du Gâtinais"
16720,"Meats,Prepared meats,Poultries,Sausages,Chickens,Poultry sausages,Chicken sausages,Smoked sausages"
16721,"Sugary snacks,Dairies,Desserts,Chocolates,Dairy desserts,Chocolate desserts,Dessert creams,fr:Crèmes dessert chocolat,fr:Cremes-lactees"
16722,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Legumes,Salty snacks,Nuts and their products,Nuts,Peanuts,Roasted nuts,Roasted peanuts,sv:Cacahuetes-salees,sv:Fruits-a-coque-sales"
16723,Cooking-chocolate
16724,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Sorbets,fr:Sorbets-a-la-clementine"
16725,"Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Juices and nectars,Fruit juices and nectars,Fruit nectars,fr:Nectars-de-litchi,Non-Alcoholic beverages"
16726,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups,fr:Potages"
16727,"Food additives,Anticaking agents,Bicarbonates of soda,ru:Сода-пищевая-гост-2156-76,ru:Сорт-второй"
16728,Dried-meat
16729,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Legumes and their products,Vegetables based foods,Canned plant-based foods,Legumes,Seeds,Canned vegetables,Legume seeds,Pulses,Canned legumes,Canned peas,Peas,fr:Petits-pois-carottes-en-conserve"
16730,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Frozen foods,Frozen plant-based foods,Frozen vegetables,fr:Trios-de-choux-en-fleurettes-surgeles"
16731,"Crêpes and galettes,Crêpes,fr:Preparations-en-poudre"
16732,"Beverages,Syrups,Flavoured syrups,Lemon syrups,Sugared beverages"
16733,fr:Specialite-tartinable-a-base-de-tomates
16734,"Sugary snacks,Biscuits and cakes,Desserts,Pastries,fr:Macarons"
16735,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Legumes and their products,Vegetables based foods,Canned plant-based foods,Legumes,Seeds,Canned vegetables,Legume seeds,Pulses,Canned legumes,Canned peas,Peas,ru:Зелёный-горошек,ru:Горошек-зелёный-салатный"
16736,"Sugary snacks,Viennoiseries,Brioches,fr:Brioches au chocolat,fr:Briochettes"
16737,"Beverages,Artificially sweetened beverages,Carbonated drinks,Diet beverages,Sodas,Diet sodas,Lemonades,fr:Limonades-light"
16738,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Sliced breads,fr:Pain-industriel"
16739,"Meats,Prepared meats,Meals,Sausages,Meals with meat,Pork meals,fr:Saucisses-de-porc"
16740,"Seafood,Fishes,Frozen foods,Frozen fishes,Pollocks,fr:Filets-de-colin-d-alaska"
16741,"Fresh foods,Dairies,Labeled products,Cheeses,Cow Cheeses,French cheeses,AOC Products,Blue-veined cheeses,fr:Fromages labéllisés,AOC cheeses,French blue-veined cheeses,Pasteurized cheeses,fr:Bleus d'Auvergne"
16742,"de:Aliments-d-origine-vegetale,de:Aliments-et-boissons-a-base-de-vegetaux,de:Aliments-a-base-de-fruits-et-de-legumes,de:Confitures,de:Confitures-de-cerises,de:Confitures-de-fruits,de:Confitures-et-marmelades,de:Fruits-et-produits-derives,de:Petit-dejeuners,de:Produits-a-tartiner,de:Produits-a-tartiner-sucres,de:Pates-a-tartiner-vegetaux"
16743,"Meats,Prepared meats,Sausages,French sausages,Pork,Strasbourg sausages,Industrial knacks"
16744,"Plant-based foods and beverages,Beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Plant-based beverages,Juices and nectars,Vegetable-based foods and beverages,Tomatoes and tomato products,Vegetable-based beverages,Vegetable juices,Tomato juices,Non-sugared beverages,fr:Jus-de-tomates-sales"
16745,"Dairies,Cheeses,Cow Cheeses,Uncooked pressed cheeses,Sliced cheeses,fr:Raclettes"
16746,"Meats,Beef,fr:Boeuf-seche"
16747,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream tubs,fr:Cremes-glacees-au-chocolat"
16748,"Plant-based foods and beverages,Plant-based foods,Fats,Olive tree products,Vegetable fats,Vegetable oils,Olive oils,Extra-virgin olive oils,fr:Huile-de-cafe"
16749,"Beverages,Non-sugared beverages,nl:Boissons,nl:Boissons-chaudes,nl:Boissons-non-sucrees,nl:Cafes,nl:Cafes-en-poudre,nl:Cappucinos"
16750,"Seafood,Fishes,Tunas"
16751,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fruits and vegetables based foods,Fresh plant-based foods,Vegetables based foods,Fresh vegetables,Frozen foods,Frozen plant-based foods,Frozen vegetables,Leaf vegetables,Spinachs,Frozen spinachs"
16752,"Fresh foods,Dairies,Cheeses,Cooked pressed cheeses,Cow Cheeses,Emmentaler,Pasteurized cheeses,Industrial cheese,Sliced cheeses"
16753,"Sugary snacks,Confectioneries,fr:Chocolas"
16754,"Syrups,fr:Sirops-de-fleurs,fr:Sirops-de-fleurs-de-sureau"
16755,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Dairies,Breakfast cereals,Flakes,Yogurts,Cereal flakes,Mixed cereal flakes,Mueslis"
16756,"Meats,Beef,fr:Viande-hachee"
16757,Fresh-dates
16758,fr:Udon
16759,"Meals,Microwave meals,Meals with fish,fr:Brandade de morue,fr:Brandade de Morue parmentière,fr:Brandades"
16760,"fr:Boissons-instantanees,fr:Milkshakes,fr:Preparations-pour-milkshakes"
16761,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Cereals and potatoes,Cereals and their products,Labeled products,Meals,Pastas,Stuffed Pastas,Fresh meals,Ravioli,Cheese ravioli,Fresh pasta,Produits-label-rouge,Pates,Ravioles,Raviolis-frais,fr:Ravioles-du-dauphine"
16762,"Sweeteners,Sugars,Lump sugar"
16763,"Meals,fr:Kits-culinaires,fr:Plats-tex-mex"
16764,"Plant-based foods and beverages,Plant-based foods,Spreads,Plant-based spreads,Oilseed purees,Sunflower seeds and their products,Sunflower seed butters"
16765,"Plant-based foods and beverages,Plant-based foods,Frozen foods,Meals,Plant-based meals,Falafel,Frozen ready-made meals,Frozen falafel"
16766,"Breakfasts,Sugary snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,fr:Biscuits-aux-cereales,fr:Biscuits-fourres,fr:Biscuits-fourres-chocolat,fr:Biscuits-petits-dejeuners"
16767,"Groceries,Sauces,fr:Sauce-pour-risotto,fr:Sauce-pour-risotto-aux-champignons"
16768,"Fresh foods,Sandwiches,Cheeseburger"
16769,"Sweeteners,Sugars,Brown sugars,Cane sugar,fr:Cassonades"
16770,"Plant-based foods and beverages,Plant-based foods,Groceries,Cereals and potatoes,Cereals and their products,Breads,Puffed cereal cakes,Zwieback"
16771,"Dairies,Cheeses,Cream cheeses,fr:Fromages blancs"
16772,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Legumes and their products,Vegetables based foods,Canned plant-based foods,Canned vegetables,Canned legumes,Canned broad beans"
16773,"Meats,Spreads,Prepared meats,Salted spreads,Rillettes,Potted meats,fr:Rillettes françaises,fr:Rillettes de Tours"
16774,"Fresh foods,Meals,Meals with meat,Microwave meals,Beef dishes,Pots,Fresh meals,Pasta in a box,fr:Fusilli-a-la-bolognaise"
16775,fr:Fricandelles
16776,"Groceries,Sauces,Tomato sauces,fr:Sauces-pour-lasagnes"
16777,"Sugary snacks,Desserts,Non-dairy desserts,Chocolates,Soy desserts,Chocolate desserts,Cocoa soy desserts,fr:Boissons-au-soja-et-chocolat,fr:Boissons-soja"
16778,"Sugary snacks,Biscuits and cakes,Desserts,Biscuits,fr:Biscuits-a-la-cuillere"
16779,"Salty snacks,Appetizers,Chips and fries,Crisps,fr:Chips de manioc,fr:Chips-d-arracacha"
16780,Framboises
16781,Pork-pie
16782,"Meals,fr:Salades composées,Beets salads"
16783,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Sugary snacks,Biscuits and cakes,Cereals and their products,Biscuits"
16784,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Meals,Microwave meals,fr:Nouilles-japonaises,fr:Produits-asiatiques"
16785,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Pickles,Olive tree products,Plant-based pickles,Olives,Green olives,Pitted olives,Green pitted olives"
16786,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Seeds,Cereal grains,Groats,Buckwheat,Buckwheat groats,ru:Крупа-гречневая-ядрица-быстроразваривающаяся-высший-сорт"
16787,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fruits and vegetables based foods,Groceries,Condiments,Fresh plant-based foods,Vegetables based foods,Culinary plants,Fresh vegetables,Vegetable-based foods and beverages,Garlic and their products,Garlic,Vegetable-based foods"
16788,"Plant-based foods and beverages,Plant-based foods,Flours,Bread flours"
16789,"Preparations-de-viande-surgelees,Surgeles,Viandes,Viandes-surgelees"
16790,"Meats,Meals,Poultries,Meals with meat,Poultry meals,Duck dishes,Ducks,fr:Magrets de canard"
16791,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Salty snacks,Dried products,Nuts and their products,Dried plant-based foods,Nuts,Dried fruits,fr:Melange-de-fruits"
16792,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Desserts,Fruits based foods,Compotes,Apple compotes,fr:Compotes pommes abricot,fr:Compotes-fraiches"
16793,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Desserts,Fruits based foods,Compotes,Apple compotes,fr:Desserts-fruitiers,fr:Purees-de-pommes"
16794,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Frozen foods,Meals,Meals with meat,Pastas,Poultry meals,Stuffed Pastas,Frozen ready-made meals,Ravioli,Frozen ravioli,Ravioli with vegetables,fr:Raviolis à la volaille,fr:Gyoza"
16795,"Groceries,Sauces,Dips,French-onion-dip"
16796,fr:Polenta
16797,"Plant-based foods and beverages,Plant-based foods,Spreads,Breakfasts,Plant-based spreads,Sweet spreads,Fruit preserves,Fruit jellies,fr:Gelees-de-cassis"
16798,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fruits and vegetables based foods,Fresh plant-based foods,Legumes and their products,Vegetables based foods,Fresh vegetables,Legumes,Fresh legumes,Carrots,Green peas"
16799,"Fresh foods,Meals,Meals with meat,Poultry meals,Fresh meals,Tabbouleh,Chicken Tabbouleh,Meals with chicken"
16800,"Beverages,Alcoholic beverages,Salty snacks,Appetizers"
16801,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Seeds,Cereal grains,Corn,fr:Mais-a-eclater"
16802,pl:Majonez
16803,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Fresh pasta,fr:Gnocchi de pommes de terre"
16804,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Dried products,Dried plant-based foods,Dried fruits,Raisins,es:Uvas-pasas-moscatel"
16805,"Plant-based foods and beverages,Beverages,Plant-based foods,Hot beverages,Plant-based beverages,Herbal teas,Teas,Herbal tea blends,Good nightrest tea blends,Non-sugared beverages"
16806,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Pains de campagne,fr:Pains-au-levain"
16807,"Beverages,Alcoholic beverages,Hard liquors,fr:Eaux-de-vie,fr:Lambig"
16808,"Dairies,Cheeses,Grated cheese,fr:Fromages-alleges"
16809,"Groceries,Sauces,fr:Sauces-mexicaines"
16810,"Sugary snacks,Biscuits and cakes,Dairies,Desserts,Dairy desserts,Cakes,Cheesecakes,Caramel cheesecakes,fr:Desserts-au-caramel"
16811,"Meats,Prepared meats,Pork,fr:Charcuteries diverses,fr:Lardons"
16812,"Beverages,Carbonated drinks,fr:Panaches,Alcoholic beverages"
16813,"Fresh foods,Meals,Meals with meat,Microwave meals,Poultry meals,Fresh meals,Meals with chicken,fr:Poulet basquaise"
16814,"Meats,Frozen foods,Beef,Beef preparations"
16815,"Sugary snacks,Confectioneries,Candies,Bonbons,Chocolates,Waffles,Stuffed waffles,Stuffed wafers,Wafers"
16816,"Salty snacks,Appetizers,Chips and fries,Crisps,Potato crisps,Flavoured potato crisps,Barbecue crisps,Potato crisps in sunflower oil"
16817,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fruits and vegetables based foods,Fresh plant-based foods,Vegetables based foods,Fresh vegetables"
16818,"pt:Potages,pt:Soupes"
16819,"Sugary snacks,Chocolates,Milk chocolates,fr:Assortiments de chocolats,fr:Chocolats-de-noel"
16820,Milkshake
16821,"Plant-based foods and beverages,Beverages,Plant-based foods,Groceries,Condiments,Hot beverages,Plant-based beverages,Herbal teas,Spices,Non-sugared beverages,Star anise"
16822,"Vinegars,Balsamic vinegars,de:Aceto-balsamico-di-modena"
16823,"Canned foods,Seafood,Fishes,Canned fishes,Anchovy,fr:Anchois-en-conserve"
16824,"Dairies,Cheeses,Unpasteurised cheeses,Goat cheese,fr:Fromages-a-pate-molle"
16825,"Meals,Meals with meat,Meals with fish,fr:Paëlla"
16826,fr:Tomates-farcies
16827,"Meals,Refrigerated foods,Refrigerated meals,fr:Tartines"
16828,"Seafood,Fishes,Herring,ru:Атлантическая-сельдь-крупная-жирная-специального-посола"
16829,"Sugary snacks,Viennoiseries,Vienna bread"
16830,"Dairies,Cheeses,Cow Cheeses,French cheeses,Mountain products,Mountain cheeses,Pasteurized cheeses,fr:Tommes,fr:Tomme des Pyrénées"
16831,"Plant-based foods and beverages,Plant-based foods,Fats,Nuts and their products,Nuts,Hazelnuts"
16832,"Sugary snacks,Desserts,Chocolates,Chocolate desserts,Sweet mousses,fr:Mousses au chocolat,fr:Mousses-au-chocolat-blanc"
16833,de:Nuss-nugat-creme
16834,"Dairies,Cheeses,fr:Ricotta"
16835,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Misos"
16836,"Sugary snacks,Biscuits and cakes,Biscuits,Waffles,Chocolate biscuits,Stuffed waffles,Milk chocolate biscuits,Stuffed wafers,Wafers"
16837,"Groceries,Sauces,Wing-sauce"
16838,"Seafood,Frozen foods,Crustaceans,Shrimps,fr:Crevettes nordiques,fr:Crevettes-surgelees"
